[0, 0, 586]
[1, 1, 111]
[2, 2, 103]
[3, 3, 457]
[4, 4, 497]
[5, 5, 205]
[6, 6, 548]
[7, 7, 498]
[8, 8, 381]
[9, 9, 245]
[10, 10, 577]
[11, 11, 128]
[12, 12, 191]
[13, 13, 318]
[14, 14, 295]
[15, 15, 151]
[16, 16, 514]
[17, 17, 549]
[18, 18, 587]
[19, 19, 458]
[20, 20, 464]
[21, 21, 419]
[22, 22, 302]
[23, 23, 530]
[24, 24, 416]
[25, 25, 433]
[26, 26, 491]
[27, 27, 170]
[28, 28, 529]
[29, 29, 130]
[30, 30, 116]
[31, 31, 584]
[32, 32, 352]
[33, 33, 213]
[34, 34, 409]
[35, 35, 370]
[36, 36, 307]
[37, 37, 549]
[38, 38, 437]
[39, 39, 574]
[40, 40, 523]
[41, 41, 572]
[42, 42, 384]
[43, 43, 226]
[44, 44, 485]
[45, 45, 379]
[46, 46, 447]
[47, 47, 278]
[48, 48, 138]
[49, 49, 236]
[50, 50, 511]
[51, 51, 298]
[52, 52, 370]
[53, 53, 547]
[54, 54, 405]
[55, 55, 485]
[56, 56, 422]
[57, 57, 548]
[58, 58, 560]
[59, 59, 235]
[60, 60, 244]
[61, 61, 222]
[62, 62, 549]
[63, 63, 168]
[64, 64, 279]
[65, 65, 592]
[66, 66, 270]
[67, 67, 138]
[68, 68, 374]
[69, 69, 356]
[70, 70, 484]
[71, 71, 486]
[72, 72, 558]
[73, 73, 380]
[74, 74, 599]
[75, 75, 489]
[76, 76, 171]
[77, 77, 495]
[78, 78, 481]
[79, 79, 162]
[80, 80, 242]
[81, 81, 388]
[82, 82, 269]
[83, 83, 148]
[84, 84, 238]
[85, 85, 549]
[86, 86, 479]
[87, 87, 103]
[88, 88, 317]
[89, 89, 458]
[90, 90, 595]
[91, 91, 531]
[92, 92, 385]
[93, 93, 459]
[94, 94, 599]
[95, 95, 186]
[96, 96, 287]
[97, 97, 268]
[98, 98, 201]
[99, 99, 390]
[100, 100, 278]
[101, 101, 231]
[102, 102, 563]
[103, 103, 233]
[104, 104, 410]
[105, 105, 488]
[106, 106, 228]
[107, 107, 388]
[108, 108, 42]
[109, 109, 334]
[110, 110, 595]
[111, 111, 212]
[112, 112, 437]
[113, 113, 570]
[114, 114, 313]
[115, 115, 223]
[116, 116, 519]
[117, 117, 415]
[118, 118, 377]
[119, 119, 356]
[120, 120, 433]
[121, 121, 520]
[122, 122, 436]
[123, 123, 309]
[124, 124, 569]
[125, 125, 409]
