0	baby sound purple spotlight figure
1	sign Gonna Workin money MCA
2	shake baby Yeah sho good
3	blues Yeah power Hey Woo
4	Freedom give Gotta Heaven make
5	Diddley ring diamond private eye
6	Stealin mama pretty back love
7	Love question meant heart forever
8	Mexico border South Manana whispered
9	truth Whoa stop Loving oughta
10	blues knew troubles praying sing
11	Hey Joe shot goin messin
12	raining Stormy time weather sun
13	wake Step life Stop momma
14	South ugly wind Hey America
15	Lord good Crying hooked Stop
16	Hurt love lied deep inside
17	York Goin walk West Til
18	thinking anymore dollars times turned
19	Whoa true love found finally
20	Falling calling back met girl
21	nerve mistreated long talking years
22	Steppin plain lookin somethin gettin
23	gonna years dog goin upstairs
24	weary evenin suns goin baby
25	send love peace Understanding world
26	stay day find heart friend
27	Time running back side baby
28	make Mister Fantasy Sing play
29	baby married love good-looking
30	bullet target pulling put long
31	kiss Sleep love goodbye hear
32	faith baby laughin rest Good
33	cares Guess heart surely S'open
34	evil child won Lord buy
35	mad papa Mama Spoken home
36	Tears remember mind times Baby
37	Russia love fly places faces
38	sing song friends Contented Assured
39	spider red jus' webbin crazy
40	good baby make feel gloooria
41	fool packed Babe clothes door
42	thing makes men fightin bout
43	Chorus Today door free written
44	kind man wanna Yeah ooh
45	Woo back love blow pow
46	lost dream Lord mind thinkin
47	bayou bank time Til drink
48	moon cry child hear night
49	love baby Chicken Duck spinnin
50	good barely stay laugh cry
51	gee find cozy spot cuddle
52	mother kind warm pull boy
53	Days Yesterdays mine Sequestered Olden
54	baby Alright lights big pretty
55	brother man yeah make made
56	Yeah lonesome schoolboy Chorus London
57	sad day baby love put
58	good times roll hey baby
59	Hey sister Shakin rollin Stop
60	lose win baby time pretty
61	Crimson moon Blue love Run
62	calling world waiting heart sunrise
63	Betty Dupree Sail told ring
64	Hmm Honey n’t snake black
65	gonna wild Powerhouse Morning Teach
66	round Train comin bend baby
67	Hot thing Ooh home smile
68	mama blues baby things leave
69	Atlanta yeah Kentucky Ohio People
70	Natchez Mississippi burning hear happened
71	friend word end thought eyes
72	lay angel Siamo Portami thinking
73	waiting Blame Gods West Suns
74	Diddley Sunday Mojo ring caught
75	mountain Laughing thought spent day
76	dime broke James Jesse friend
77	lie left real full grown
78	begin beguine Till brings back
79	Wah goin watchin waah standin
80	left crown Lord bit changing
81	funky Yeah baby leave work
82	man Big boss hear call
83	good-bye road code live past
84	breakin stop Ooh stuff bust
85	Orleans God Rising Sun drunkard
86	helpless breakaway yeah remember Movin
87	Christmas Merry treat nice feeling
88	Hmm Sunup sundown baby step
89	love crazy mama bad tame
90	mama tol blues night Son
91	Yeah bout buggin hollerin screamin
92	baby girl country cried til
93	heart ready God snow long
94	play mama tonight groove baby
95	School Street crazy Guitar bull
96	good times time wasted useless
97	Christmas fallin Blues mmm hellhound
98	piano drinking York Sumo Cream
99	Bad love misery sick tired
100	big love growin kind time
101	Christmas Jack Mama back Daddy
102	thought tonight shave legs heels
103	sweet dreams true Lonely tears
104	tonight wonderful alright feel late
105	party Turn lights heart broke
106	peace valley Lord calls lamb
107	power estimate Love low lift
108	street walking eye sawr caught
109	love hard bout lovin rise
110	walking floor love sleep wink
111	needed tonight time love arms
112	Christmas made darling northern lights
113	Lost feeling Finding falling easy
114	Checkin Hey light Baby White
115	cheatin Ooh gettin makes make
116	Born boogie guitar momma Money
117	Dream Trouble Chorus Lay keepin
118	Waterloo meet day puppy pay
119	back club Born members outback
120	nothin sweet baby cake jam
121	Chorus leave Daddy pass Tag
122	Shenandoah Missouri wide cross rolling
123	run matter cover lover long
124	n’t blame girl things love
125	loadin coal livin dollar told
126	spyin swear girl usin information
127	Chorus Call loved long Baby
128	blues gave note Singing Pushed
129	living shades pulled Daytime Loving
130	Texas live Tennessee place dearly
131	CHORUS stronger Darlin love knew
132	time loving night cry stop
133	golden Yeah heart day strolled
134	goin lady mine Yeah heart
135	cry baby gonna find Yeah
136	Country home West Virginia roads
137	togetherness loneliness makes walk lonely
138	Mississippi Louisiana River love woman
139	wrong Yeah girl love hard
140	pickin time Lord til layin
141	feel heartaches Remember cry gettin
142	world waiting Seek Leave Built
143	cool made Hey fool guy
144	gave heaven treasure save close
145	back sing home Make heard
146	coulda Yea day kinda sad
147	tryin livin make workin heaven
148	legend time fame love give
149	eye live Yeah Fast life
150	thought truth told lie feels
151	faded remember Chorus love miss
152	Slavin Lord Starin cooking day
153	river fire ashes heart cried
154	heartaches hangovers Lock tomorrow tonight
155	apron Tie strings Bring Sing
156	holy loving high angel leaving
157	bad good Baby hard darling
158	lost gin bottle dream time
159	love falling Yeah letting show
160	world belong darling loved remember
161	walking floor love sleep wink
162	goin lonely Rollin flow Traveling
163	red roses Florist blue lady
164	love heart dream baby cryin
165	purest place Jesus thing King
166	men lightning Searchin white pappy
167	Camelia stand man lyin walk
168	raise blood Walk gonna son
169	years ten Lord usual stoned
170	Send Make joyful noise world
171	daddy Mama things make home
172	honey loves Remember matter girl
173	live love life smile friendly
174	day love Till passes runnin
175	Repeat stop yesterday live time
176	Crazy Faithfully Holding November waits
177	free singin released heart soul
178	Chorus gonna Hopin Jokin Corona
179	holds kiss hand understand resist
180	hands judge God hear plea
181	wait darling happy convict branded
182	Call calling big calls blue
183	do-wacka Yeah Good back girls
184	waiting Louisi love evening shadows
185	lifetime repair mmm Rocks twisted
186	miss dear make lovely happiness
187	Airborne part hole ranger infantry
188	Somethin blue don parted feel
189	kind corner life number special
190	darlin telling told heart world
191	Billy Bayou watch pretty girl
192	home song make makes feels
193	Walkin winter wonderland Parson Brown
194	days barely Whoa work laid
195	happy endings Taking Giving breaking
196	left sweetheart blue roam dearie
197	Tears Independence Day rage thief
198	God prayer Lord carry Jesus
199	started loving today begun back
200	night city pretty child dark
201	hot giving baby shake call
202	Christmas King again. Mike solo
203	find Waging time light head
204	time solo Set free garbage
205	adults city Past Children pity
206	days living trust Evermore hostility
207	Hell Inside Deep guilty wanna
208	innocence time Relive Things Symbolic
209	Smoke water fire place sky
210	locked inside love key Drag
211	scared free leave set poison
212	Jesse Congregation god Falling Dying
213	life king wisdom trade karma
214	time feel make Give standing
215	Hanging Web Spinning world Caught
216	dub thee unforgiven felt shined
217	world Truth Choose Man bites
218	Loaded Lovin Living rockin midnight
219	final frontier life time lived
220	goin crazy heat sun rollin
221	burn Fire gonna destroy mind
