blues	In a purple spotlight A figure spins around Tell me baby, baby, do you like the sound? Untarnished memory Are you ready baby? Let me hear you scream Are you ready, baby For one night alone with me?
blues	Seven years of hard luck, comin' down on me From the Florida border, yes up to Nashville, Tennessee I worked in every joint you can name, mister, every honky tonk Along come Mr. Yankee slicker, sayin' maybe you're what I want Want you to sign your contract Want you to sign today Gonna give you lots of money Workin' for MCA Oh nine thousand dollars, that's all we could win But we smiled at the Yankee slicker with a big ol' Southern grin They're gonna take me out to California, gonna make me a superstar Just pay me all of my money, mister, maybe you won't get a scar Want you to sign your contract Want you to sign today Gonna give you lots of money Workin' for MCA Suckers took my money since I was seventeen If it ain't no pencil pusher, it got to be a honky tonk queen But I'll sign my contract baby and I want you people to know That every penny that I make, I'm gonna see where my money goes Want you to sign your contract Want you to sign today Gonna give you lots of money Workin' for MCA
blues	Well it sho look good but it... don't mean a thang to me Yes it sho look good but it... don't mean a thang to me I've got a cool shakin' baby... shake like a wildwood tree You went away baby... you got back a little too late You went away baby... you got back a little too late I've got a cool shakin' baby... shake like jello on a plate When my baby walks... you know she's fightin' below Yeah when my baby walks... you know she's fightin' below Yes and when she stops... (her) flesh, it shakes like jello Well now shake little baby Shake it for me Yeah now shake little baby Shake it for me Yeah now shake a little baby Shake like a wild wood tree Now let it shake... now let it shake Now let it shake... now let it shake Let it shake a little baby Shake like a wild wood tree
blues	"This is blues power! Well Play it now) Everybody understands the blues Are you listening? Yeah! I say everybody understands the blues Everybody from one day to another has the blues You take the little baby that's layin' in the cradle He can't get that milk bottle fast enough He go to kickin' an'cryin' An' goin' on, tearin' up the little baby bed He got the blues Can ya dig it? Yeah! Ha, ha, ha You take this girl that's got this main squeeze That's her boyfriend, that is, you know An' he just bought a brand new GTO You know she want to be wit' him everytime he cranks it up An' go around the corner to the soda fountain This is where she want to go an'show it off Where all the girls and guys be You know what I mean? An' she get ready to go out this particular night An' her mother say, ""Daughter you was just out last night You can't go out tonight, that's too many nights in a row"" She go in the room an'fasten the door An' won't answer the phone, won't eat Won't talk to nobody She got the blues That's what's wrong wit' her Some people call them the reds, the pinks When ya get through It's the old-fashioned country blues That's right I haven't seen my main squeeze In ten long weeks, today You know I got the blues Can you dig it? ha, ha, ha Yeah! Woo! Alright! Ah but wait, I don't think you're with me Let's everybody get a thing goin' right here Yes, yes, yes Can you feel it? Yeah! I can't hear you, can you feel it? Yeah! Yes, yes Sounds awful good, keep it, keep it, right there chilin' Keep it right there, ha ha ha ha The blues! An' when you're doin' the blues They so strong, that's the reason there named They call 'em blues power, yeah An' would you believe I invented blues power? Yeah! Ha, ha Can you dig the blues power? Yeah! Let everybody say ""yeah"" Yeah! Say it again, say ""yeah"" Yeah! Alright! Alright! Hey! Hey! Hey! Oh! Alright Ha, ha, ha! Well! Woo! Ha, ha, ha! Oh man! Hey! Ooh-oh! Woo! Thank you! Thank you very much! Thank you very kindly! Woo!"
blues	Freedom '90 George Michael I won't let you down I will not give you up Gotta have some faith in the sound It's the one good thing that I've got I won't let you down So please don't give me up Because I would really, really love to stick around Heaven knows I was just a young boy Didn't know what I wanted to be I was every little hungry schoolgirl's pride and joy And I guess it was enough for me To win the race? A prettier face! Brand new clothes and a big fat place On your rock and roll TV But today the way I play the game is not the same No way Think I'm gonna get me some happy I think there's something you should know I think it's time I told you so There's something deep inside of me There's someone else I've got to be Take back your picture in a frame Take back your singing in the rain I just hope you understand Sometimes the clothes do not make the man All we have to do now Is take these lies and make them true somehow All we have to see Is that I don't belong to you And you don't belong to me Freedom You've gotta give for what you take Freedom You've gotta give for what you take Heaven knows we sure had some fun boy What a kick just a buddy and me We had every big shot good-time band on the run boy We were living in a fantasy We won the race Got out of the place I went back home got a brand new face For the boys on MTV But today the way I play the game has got to change Oh yeah Now I'm gonna get myself happy I think there's something you should know I think it's time I stopped the show There's something deep inside of me There's someone I forgot to be Take back your picture in a frame Don't think that I'll be back again I just hope you understand Sometimes the clothes do not make the man All we have to do now Is take these lies and make them true somehow All we have to see Is that I don't belong to you And you don't belong to me Freedom You've gotta give for what you take Freedom You've gotta give for what you take Well it looks like the road to heaven But it feels like the road to hell When I knew which side my bread was buttered I took the knife as well Posing for another picture Everybody's got to sell But when you shake your ass They notice fast And some mistakes were built to last That's what you get I say that's what you get That's what you get for changing your mind And after all this time I just hope you understand Sometimes the clothes Do not make the man I'll hold on to my freedom May not be what you want from me Just the way it's got to be Lose the face now I've got to live
blues	Bo Diddley bought his babe a diamond ring, If that diamond ring don't shine, He gonna take it to a private eye, If that private eye can't see He'd better not take the ring from me. Bo Diddley caught a nanny goat, To make his pretty baby a Sunday coat, Bo Diddley caught a bear cat, To make his pretty baby a Sunday hat. Mojo come to my house, ya black cat bone, Take my baby away from home, Ugly ole mojo, where ya bin, Up your house, and gone again. Bo Diddley, Bo Diddley have you heard? My pretty baby said she wasn't for it.
blues	Stealin', stealin', pretty mama Don't you tell on me I'm stealin' back to my Same old used to be Now, put your arms around me Like the circle round the sun I want ya to love me, mama Like my easy rider done If you don't believe I love ya Look what a fool I've been If you don't believe I'm sinkin' Look what a hole I'm in Stealin', stealin', pretty mama Don't ya tell on me I'm stealin' back to my Same old used to be I'm stealin', stealin', pretty mama Don't you tell on me I'm stealin' back to my Same old used to be The woman I'm lovin' She just my heigh-th and size She's a married woman Come to see me sometimes If you don't believe I love you Look what a fool I've been If you don't believe I'm sinkin' Look what a hole I'm in I'm stealin', stealin', pretty mama Don't you tell on me I'm stealin' back to my Same old used to be I'm stealin', stealin', pretty mama Don't you tell on me I'm stealin' back to my Same old used to be Stealin', stealin', pretty mama Don't you tell on me I'm stealin' back to my Same old used to be.
blues	Nobody else can make me happy No one could hurt me like you do You were the only one that mattered Then you were gone Love had moved on Left me alone Thinking of you There was never any other You and I were created to dream Isn't it love that keeps us breathing Isn't it love we're sent here for Wasn't that love we were feeling Deep in our soul Deeper than we know Keepin' me whole, out for you There was never any question You'll forever on my mind You and I were meant to be together True hearts and the world of love is done I might as well have been dyin' When we were apart When you came back I felt the beating of my heart You and I there was never any question You will forever hold my heart You and I were meant to be together You It was always you Always
blues	South of the border down Mexico way That's where I fell in love when stars above came out to play Now as I wander my thoughts ever stray south of the border down Mexico way She was a picture in old Spanish lace And for a tender while I kissed the smile opon her face For it was Fiesta we were so gay south of the border down Mexico way And she smiled and she whispered Manana Never dreaming that we were parting And I lied and I whispered Manana for our tomorrow never came South of the border I rode back one day There in a veil of white by candlelight she knelt to pray And the mission bells told me that I mustn't stay South of the border down Mexico way Ay ay ay ay ay ay ay ay Ay ay ay ay ay ay ay ay
blues	Tell the truth Tell the truth Well, you know what you done to me, You made me fall for you Tell the truth Tell the truth Well you know you can make me do what you want me to Loving you, feelings started But, I'm goin' to stop it If I could, I surely would I would roll up around you If I thought it would do any good Why don't you tell the truth Tell the truth Well you know you can make me do what you want me to Loving you, feelings started But, I'm goin' to stop it If I could, I surely would I would roll up around you If I thought it would do any good Why don't you tell the truth Tell the truth Well you know you can make me do what you want me to Whoa, come on, tell the truth, now (tell the truth) And I know, I know, baby (tell the truth) Every day, every night (tell the truth) Whoa, hold me tight (tell the truth) And I know, and I know (tell the truth) You 'oughta, you 'oughta (tell the truth) Stop Lying (tell the truth) Stop lying, whoa (tell the truth) Whoa (tell the truth) Whoa (tell the truth) Oh baby (tell the truth) Now tell the truth (tell the truth) Every day of your life, tell the truth little girl (tell the truth) What about that man you were with last night (tell the truth) I want to know (tell the truth) Come on baby (tell the truth) Hey hey (tell the truth) Every day of your life, you 'oughta (tell the truth)
